Transfers of major conventional arms from All countries  to Australia  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 29 Aug 2025 3:01:25 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Australia,United Kingdom,1954,?,70,,Vampire T-55,trainer aircraft,70,?,1956; 1957; 1958; 1959; 1960,New,Incl 1 Vampire T-34A and 69 Vampire T-35A version,2.25,157.5,157.5
Australia,Norway,1998,,44,?,Penguin-2,anti-ship missile,44,?,2001; 2002,New,AUD76-79 m ($40-49 m) 'Project Sea-1414 Phase-1' deal (offsets incl production of warheads in Australia); Penguin-2 Mod-7 version; for SH-2G helicopters; delivered but stored after SH-2G cancelled,0.4,17.6,17.6
Australia,United States,1998,,4,,TPS-77,air-search radar,4,?,2004; 2005,New,AUD125-150 m ($68-90 m) 'Project Air-5375',11,44,44
Australia,Canada,1998,,81,?,Piranha-2,infantry fighting vehicle,81,?,2003; 2004; 2005,New,Part of $180-210 m 'Project Land-112 Phase-3' or 'ASLAV programme Phase-3'; LAV-25 version; Australian designation ASLAV-25,0.27,21.87,21.87
Australia,Canada,1998,,69,?,Piranha-2,armoured personnel carrier,69,?,2002; 2003; 2004; 2005,New,Part of $180-210 m 'Project Land-112 Phase-3' or 'ASLAV programme Phase-3'; LAV-25 version; incl 7 ambulance; 11 recovery; 14 command post; 15 radar reconnaissance and 11 repair versions; Australian designation ASLAV; incl production of components in Australia,0.27,18.63,18.63
Australia,United States,2002,,400,?,ESSM,SAM,400,?,2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017,New,For MEKO-200 (Anzac) and modernized Perry (Adelaide) frigates; incl production of components in Australia (as part of NATO Sea Sparrow Consortium),0.4,160,160
Australia,Norway,1999,,40,?,Penguin-2,anti-ship missile,40,?,2002; 2003,New,AUD76 m ($36-49 m) 'Project Sea-1414 Phase-2' (offsets incl production of warheads in Australia); Penguin-2 Mod-7 version; for SH-2G helicopters; delivered but stored after SH-2G cancelled,0.4,16,16
Australia,United Kingdom,1999,,61,,MSTAR,ground surveillance radar,61,?,2002; 2003; 2004; 2005,New,$32 m 'Project NINOX'; 55 assembled in Australia; Australian designation AMSTAR,0.5,30.5,30.5
Australia,United States,2000,,4,,Boeing-737 AEW&C,airborne early-warning aircraft,4,,2009; 2010,New,Part of AUD3.8 b ($2.5-3.5 b) 'Wedgetail' programme or 'Project Air-5077 Phase-3' (incl production of components and assembly of 2 in Australia); Australian designation A-30,250,1000,1000
Australia,United States,2005,?,175,?,Standard Missile-2MR,SAM,175,?,2008; 2009; 2010; 2011; 2012; 2013,New,'Project Sea 1390-4B'; SM-2 Block-3A version; for modernized Perry (Adelaide) frigates,0.3,52.5,52.5
Australia,France,2001,,22,,EC-665 Tiger,combat helicopter,22,?,2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011,New,AUD1.3 b ($670-981 m) 'Project Air-87' (offsets incl production of components and assembly of 18 in Australia and production of EC-120 helicopter for Asian market); Aussie Tiger version,11.5,253,253
Australia,United States,2004,,2,,Boeing-737 AEW&C,airborne early-warning aircraft,2,,2011; 2012,New,AUD326 m ($224 m) deal (part of AUD3.8 b ($2.5-3.5 b) 'Wedgetail' programme or 'Project Air-5077 Phase-3'; incl production of components and assembly in Australia); Australian designation A-30,250,500,500
Australia,Ireland,2007,,253,?,Bushmaster,armoured personnel carrier,253,?,2008; 2009; 2010,New,,0.32,80.96,80.96
Australia,Ireland,1999,?,299,,Bushmaster,armoured personnel carrier,299,?,2005; 2006; 2007,New,AUD203 m ($105 m) 'Bushranger' programme; designed for production in Australia; incl command post; ambulance and other versions,0.32,95.68,95.68
Australia,Ireland,2006,,144,,Bushmaster,armoured personnel carrier,144,?,2007; 2008,New,,0.32,46.08,46.08
Australia,Ireland,2008,,41,,Bushmaster,armoured personnel carrier,41,?,2010,New,,0.32,13.12,13.12
Australia,Ireland,2011,,101,,Bushmaster,armoured personnel carrier,101,?,2012,New,,0.32,32.32,32.32
Australia,Ireland,2012,,214,,Bushmaster,armoured personnel carrier,214,?,2012; 2013; 2014,New,,0.32,68.48,68.48
Australia,United States,2008,,250,,M-982 Excalibur,guided shell,250,?,2009,New,$40 m deal,0.04,10,10
Australia,United States,2008,,47,,AIM-9X Sidewinder,long-range air-to-air missile,47,?,2009; 2010,New,,0.18,8.46,8.46
Australia,United States,2023,?,1,,Virginia,nuclear submarine,0,,,New,Part of 'AUKUS' agreement; Virginia Block-7 version; option on 2 more; delivery planned 2038; selected 2023 but not ordered by end-2024,0,0,0
Australia,United Kingdom,2023,?,3,?,SSN-AUKUS,nuclear submarine,0,,,New,Part of 'AUKUS' agreement; delivery planned from late-2030s; incl 2 produced under licence in Australia,0,0,0
Australia,United States,2008,,8,?,F414,turbofan,8,?,2010; 2011,New,F-414-GE-400 version; spare engines for F/A-18E combat aircraft,2.5,20,20
Australia,United States,1980,,12,?,AVQ-26 Pave Tack,aircraft electro-optical system,12,?,1985,New,For F-111C combat aircraft,1,12,12
Australia,United States,1996,,20,?,AVQ-26 Pave Tack,aircraft electro-optical system,20,?,1997,Second hand,Second-hand; for F-111C and F-111G combat aircraft,0.4,8,8
Australia,Sweden,2009,?,2,,Giraffe-AMB,air-search radar,2,,2014; 2015,New,For 2 BPE (Canberra) amphibious assault ships from Spain,7.5,15,15
Australia,France,2009,?,2,,Vampyr,air-search system,2,,2014; 2015,New,Vampyr-NG version for 2 BPE (Canberra) amphibious assault ships from Spain,2,4,4
Australia,United States,2011,,1,,C-17A Globemaster-3,heavy transport aircraft,1,,2011,New,$300 m deal,140,140,140
Australia,United Kingdom,1952,?,3,,Prince,light transport aircraft,3,,1952,New,,0.75,2.25,2.25
Australia,United States,2007,,253,?,vehicle engine,vehicle engine,253,?,2008; 2009; 2010,New,Caterpillar-3126 ATTAC (300hp) diesel engine for 253 Bushmaster armoured personnel carriers produced in Australia,0.03,7.59,7.59
Australia,United States,2011,,101,?,vehicle engine,vehicle engine,101,?,2012,New,Caterpillar-3126 ATTAC (300hp) diesel engine for 101 Bushmaster armoured personnel carriers produced in Australia,0.03,3.03,3.03
Australia,United States,2006,,144,?,vehicle engine,vehicle engine,144,?,2007; 2008,New,Caterpillar-3126 ATTAC (300hp) diesel engine for 144 Bushmaster armoured personnel carriers produced in Australia,0.03,4.32,4.32
Australia,Germany,1976,?,50,,Leopard-1A3,tank,50,?,1978,New,Leopard AS-1 version,2.5,125,125
Australia,United Kingdom,2004,,5,,air refuel system,air refuel system,5,?,2011; 2012,New,For 5 A-330 MRTT tanker/transport aircraft from France,10,50,50
Australia,United States,2012,,1,,C-17A Globemaster-3,heavy transport aircraft,1,,2012,New,,140,140,140
Australia,United States,2011,,2,,CH-47D Chinook,transport helicopter,2,,2012,Second hand,Second-hand,7.2,14.4,14.4
Australia,Norway,2012,,1,,Skandi Bergen,patrol ship,1,,2012,Second hand,Second-hand; AUD130 m ($137m) deal; incl for disaster relief,26,26,26
Australia,United Kingdom,1975,,570,?,Rapier-1,SAM,570,?,1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989,New,,0.1,57,57
Australia,United States,1986,,14,,S-70 Black Hawk,transport helicopter,14,,1987; 1988,New,$210 m 'Project Air 5046'; incl 13 assembled in Australia; S-70A-9 version,6.5,91,91
Australia,United States,1986,,8,,SH-60B Seahawk,anti-submarine helicopter,8,?,1990; 1991,New,$132 m deal; S-70B-2 version; assembled in Australia from kits,17,136,136
Australia,Italy,1968,?,22,,MB-326B,trainer/combat aircraft,22,?,1971; 1972,New,Assembled/produced in Australia; unarmed MB-326H version,2.1,46.2,46.2
Australia,Italy,1965,,75,,MB-326B,trainer/combat aircraft,75,?,1968; 1969; 1970; 1971,New,Assembled/produced in Australia; unarmed MB-326H version,2.1,157.5,157.5
Australia,Germany,2008,,81,?,Waran,armoured personnel carrier,81,?,2011; 2012,New,Australian M-113A1 armoured personnel carriers rebuilt to Waran; assembled in Australia with kits from Germany; Australian designation M-113AS4,0.35,28.35,28.35
Australia,France,1982,,12,,AS-350/AS-550 Fennec,light helicopter,12,,1984,New,$24 m deal; AS-350B version; for training,0.9,10.8,10.8
Australia,France,1983,,6,,AS-350/AS-550 Fennec,light helicopter,6,?,1984,New,$6 m deal; AS-350B version; for training,0.9,5.4,5.4
Australia,United Kingdom,1965,,97,?,Viper,turbojet,97,?,1968; 1969; 1970; 1971; 1972,New,For 97 MB-326H from Italy; probably from production line in Italy,0.4,38.8,38.8
Australia,United Kingdom,1963,,4,,Oberon,submarine,4,,1967; 1968; 1969,New,AUP20 m deal; Australian designation Oxley,75,300,300
Australia,United States,2007,,24,,F/A-18E Super Hornet,FGA aircraft,24,,2010; 2011,New,AUD6 b ($4.8 b) deal; interim solution to cover gap between F-111 retirement and delivery of F-35; F/A-18F version,50,1200,1200
Australia,France,2005,,17,,Vampyr,air-search system,17,?,2010; 2011; 2014; 2015; 2016; 2017,New,Vampyr-NG version for modernization of 8 MEKO-200 (Anzac) frigates,2,34,34
Australia,United Kingdom,2010,?,35,,UFH/M-777 155mm,towed gun,35,,2012,New,'Land-17' programme; ordered via USA from US production line; M-777A2 version,1,35,35
Australia,Italy,2020,?,2,,AW139,helicopter,2,?,2021,New,For Australian company for 2-year lease to Australian armed forces as 'Plan Corella' or 'Army Interim Commercial Helicopter',6,12,12
Australia,China,2020,?,1,,AW139,helicopter,1,,2021,Second hand,Second-hand; for Australian company for 2-year lease to Australian armed forces as 'Plan Corella' or 'Army Interim Commercial Helicopter',2.4,2.4,2.4
Australia,United Kingdom,2017,,1,,AW139,helicopter,1,,2017,Second hand,Second-hand; for Australian company for 15-month lease for SAR to Australian navy,2.4,2.4,2.4
Australia,United Kingdom,2011,,1,,Enforcer,amphibious assault ship,1,,2011,Second hand,Second-hand; GBP65 m ($106 m) deal; Australian designation Choules,40,40,40
Australia,United States,2012,,20,?,aircraft engine,aircraft engine,20,?,2015; 2016; 2017; 2018,New,Allison AE-2100D3 (5000hp) turboprop for 10 C-27J transport aircraft from Italy,1.5,30,30
Australia,Spain,2020,?,3,,Lanza-MRR,air-search radar,3,,2023,New,Part of 'Air-5341 Phase-1' project,10,30,30
Australia,United States,2007,?,24,?,ASQ-228 ATFLIR,aircraft electro-optical system,24,?,2010; 2011,New,For F/A-18E combat aircraft,1.1,26.4,26.4
Australia,United Kingdom,2011,?,20,?,ASRAAM,long-range air-to-air missile,20,,2012,New,Possibly second-hand,0.18,3.6,3.6
Australia,United Kingdom,1951,,111,?,Avon,turbojet,111,?,1956; 1957; 1958; 1959; 1960; 1961,New,For 111 CA-27 Sabre (modified F-86F) combat aircraft from USA,1.25,138.75,138.75
Australia,Germany,1975,,5,,BrPz-1 Biber,armoured bridgelayer,5,,1977,New,Australian designation Leopard-1 AVLB,1,5,5
Australia,United States,1976,,100,?,Harpoon Block-1,anti-ship missile,100,?,1981; 1982; 1983; 1984; 1985,New,Incl RGM-84 version for Perry (Adelaide) frigates and AGM-84A version for P-3C anti-submarine aircraft,0.9,90,90
Australia,United States,1976,,16,,S-2E Tracker,anti-submarine aircraft,16,,1977; 1978,Second hand,Second-hand; $9 m deal; S-2G version,3,48,48
Australia,United States,1975,,10,,P-3C Orion Update-2,anti-submarine aircraft,10,,1977; 1978; 1979,New,$229 m deal,50,500,500
Australia,Germany,1975,,6,,BPz-2,armoured recovery vehicle,6,,1977,New,Australian designation Leopard AS-1 ARV Medium,1.4,8.4,8.4
Australia,United States,1976,,2,,Perry,frigate,2,,1980; 1981,New,Deal worth AUD923 m for total of 4 ordered 1976; 1977 and 1980; Australian designation Adelaide,300,600,600
Australia,United States,1973,,200,?,RIM-66B Standard-1MR,SAM,200,?,1974; 1975; 1976; 1977; 1978,New,For modernized Adams (Perth) destroyers,0.25,50,50
Australia,Germany,1975,,42,,Leopard-1A3,tank,42,?,1976; 1977,New,Leopard AS-1 version,2.5,105,105
Australia,United States,1976,,12,,C-130H Hercules,transport aircraft,12,,1978,New,Deal worth $115 m,28,336,336
Australia,United Kingdom,1975,,20,,Rapier,SAM system,20,?,1978; 1979; 1980; 1981,New,$44 deal m (offsets 30%),7,140,140
Australia,United States,1980,,1,,Perry,frigate,1,,1984,New,Deal worth $164 m (AUD923 m for total of 4 ordered 1976; 1977 and 1980); Australian designation Adelaide,300,300,300
Australia,United Kingdom,1950,?,99,,Meteor,fighter aircraft,99,?,1950; 1951,New,For use in Korean War; Meteor F-8 version; incl 6 Meteor T-7 trainer version,3,297,297
Australia,United Kingdom,1949,?,24,?,Sea Fury,fighter aircraft,24,?,1950,New,For use on aircraft carriers,2,48,48
Australia,United Kingdom,1950,?,1,,Bristol-170 Freighter,transport aircraft,1,,1951,New,Second-hand (but not more then few years old),4.38,4.38,4.38
Australia,United States,1980,,36,,M-198 155mm,towed gun,36,?,1983; 1984,New,,0.85,30.6,30.6
Australia,New Zealand,1980,,14,,CT-4 Airtrainer,(armed) trainer aircraft,14,?,1981; 1982,New,AUD2.3 m deal; originally ordered by Rhodesia but embargoed,0.15,2.1,2.1
Australia,United States,1982,,10,,P-3C Orion Update-2.5,anti-submarine aircraft,10,?,1984; 1985; 1986,New,$366 m deal (partly paid with 9 Second-hand P-3B ASW aircraft),55,550,550
Australia,France,1981,,550,?,R-550 Magic-1,short-range air-to-air missile,550,?,1982; 1983,New,$14 m deal,0.09,49.5,49.5
Australia,United Kingdom,1980,,2,,Sea King HAS-5,anti-submarine helicopter,2,,1983,New,Sea King Mk-50A version,15,30,30
Australia,United States,1976,,200,?,RIM-66B Standard-1MR,SAM,200,?,1980; 1981; 1982; 1983; 1984,New,For Perry (Adelaide) frigates,0.25,50,50
Australia,Canada,1983,,2,,Boeing-707,transport aircraft,2,,1983,Second hand,Second-hand; $8 m deal,17.8,35.6,35.6
Australia,France,1983,?,120,?,MILAN,anti-tank missile,120,?,1985,New,AUD6 m deal  (incl 12 launchers),0.01,1.2,1.2
Australia,United States,1983,?,450,?,AIM-9L Sidewinder,short-range air-to-air missile,450,?,1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990,New,For F/A-18 combat aircraft,0.11,49.5,49.5
Australia,United States,1977,,1,,Perry,frigate,1,,1983,New,Deal worth AUD923 m for total of 4 ordered 1976; 1977 and 1980; Australian designation Adelaide,300,300,300
Australia,United States,1984,,300,?,AIM-7M Sparrow,long-range air-to-air missile,300,?,1988; 1989,New,$20 m deal; for F/A-18 combat aircraft,0.18,54,54
Australia,United Kingdom,1972,,10,,Sea King HAS-1,anti-submarine helicopter,10,?,1974; 1975,New,Sea King Mk-50 version; for use on aircraft carrier,10,100,100
Australia,United States,1957,?,12,,C-130B Hercules,transport aircraft,12,,1958; 1959,New,C-130A version,23,276,276
Australia,Canada,1953,?,2,,DHC-3 Otter,light transport aircraft,2,?,1953,New,,0.8,1.6,1.6
Australia,United States,1958,?,11,,Bell-47/OH-13,light helicopter,11,?,1959; 1960; 1961,New,,0.24,2.64,2.64
Australia,United States,1966,,14,,S-2E Tracker,anti-submarine aircraft,14,,1966; 1967,New,Part of deal worth AUD46 m; for use on aircraft carrier,7.5,105,105
Australia,United States,1966,,10,,A-4E Skyhawk,FGA aircraft,10,,1967; 1968,New,Part of  AUD46 m deal; A-4G version; incl 2 TA-4G; for use on aircraft carrier,9,90,90
Australia,United Kingdom,1965,,8,,HS-748,transport aircraft,8,,1968; 1969,New,For training; HS-748-228 version,8.5,68,68
Australia,Switzerland,1967,,19,,PC-6 Porter,light transport aircraft,19,,1968; 1969; 1971,New,,0.45,8.55,8.55
Australia,United Kingdom,1971,?,2,,HS-748,transport aircraft,2,,1973,New,For training; HS-748-268 version,8.5,17,17
Australia,United States,1965,?,8,,Bell-205A,helicopter,8,,1966; 1967,New,,2.2,17.6,17.6
Australia,United States,1965,?,10,,Cessna-180 Skywagon,light aircraft,10,?,1966,New,,0.18,1.8,1.8
Australia,United States,1964,?,12,,C-130E Hercules,transport aircraft,12,,1966,New,,24,288,288
Australia,United Kingdom,1951,?,2,?,Sycamore,light helicopter,2,?,1954,New,,0.5,1,1
Australia,Canada,1968,?,4,,DHC-4 Caribou,transport aircraft,4,?,1968; 1969; 1971,New,,3.75,15,15
Australia,United States,1963,,24,,F-111C,bomber aircraft,24,,1973; 1974,New,AUD112 m deal; delivery delayed until 1973 due to technical problems with aircraft,50,1200,1200
Australia,United States,1972,,12,,CH-47C Chinook,transport helicopter,12,,1974,New,,15,180,180
Australia,United States,1969,,11,,Bell-205A-1,helicopter,11,,1969; 1970; 1971; 1973,New,,2.62,28.82,28.82
Australia,France,1970,,6,,Mirage-3E,FGA aircraft,6,,1973; 1974,New,AUD11 m deal; Mirage-3OD trainer/combat version; produced under licence in Australia,12,72,72
Australia,United States,1958,?,9,,Cessna-180 Skywagon,light aircraft,9,,1959,New,,0.18,1.62,1.62
Australia,United States,1964,,10,,P-3B Orion,anti-submarine aircraft,10,,1969,New,,30,300,300
Australia,United Kingdom,1959,?,30,?,Bloodhound-1,SAM,30,?,1962; 1963,New,,0.35,10.5,10.5
Australia,France,1962,?,100,?,R-530,short-range air-to-air missile,100,?,1964; 1965; 1966; 1967; 1968,New,For Mirage-3OF combat aircraft,0.1,10,10
Australia,United Kingdom,1963,?,50,?,Seacat,SAM,50,?,1964; 1965; 1966,New,For River (Rothesay) frigates,0.04,2,2
Australia,United States,1969,?,144,,AIM-7C Sparrow,short-range air-to-air missile,144,,1970,New,For F-4E combat aircraft leased from USA,0.1,14.4,14.4
Australia,United States,1968,?,260,?,Redeye,portable SAM,260,?,1969; 1970,New,,0.04,10.4,10.4
Australia,United Kingdom,1955,?,265,?,Ferret,armoured reconnaissance vehicle,265,?,1956; 1957,New,,0.12,31.8,31.8
Australia,United States,1962,?,200,?,RIM-24 Tartar,SAM,200,?,1965; 1966; 1967,New,For Adams destroyers,0.12,24,24
Australia,France,1962,?,500,?,ENTAC,anti-tank missile,500,?,1963; 1964,New,,0.01,5,5
Australia,United States,1961,,24,,Bell-204B,helicopter,24,,1962; 1963; 1964,New,Incl for SAR,2.1,50.4,50.4
Australia,United Kingdom,1949,,1,,Mod. Majestic,aircraft carrier,1,,1955,New,AUP8.3 m deal; originally ordered for UK in WW-2; but cancelled and completed for Australia; Australian designation Melbourne,400,400,400
Australia,United States,1962,,2,,Adams,destroyer,2,,1965,New,AUD80 m deal,275,550,550
Australia,United Kingdom,1969,?,25,?,Seacat,SAM,25,?,1970; 1971,New,For River frigates,0.04,1,1
Australia,United Kingdom,1961,,6,,Ton,minesweeper,6,,1962,Second hand but modernized,Second-hand but modernized before delivery,7.59,45.54,45.54
Australia,United States,1965,?,3,?,TPS-43,air-search radar,3,?,1967; 1968; 1969,New,Part of 'Hub Cap' air surveillance network,9,27,27
Australia,United States,1984,?,6,,TPS-25,ground-surveillance radar,6,?,1985,New,,0.95,5.7,5.7
Australia,Italy,1986,,10,?,HSS-1,air-search radar,10,?,1988; 1989; 1990; 1991; 1992,New,AUD20 m deal,1.19,11.9,11.9
Australia,United States,1987,?,100,?,RIM-66B Standard-1MR,SAM,100,?,1993; 1994; 1995; 1996,New,$50 m deal; for Perry (Adelaide) frigates,0.25,25,25
Australia,United States,1987,,28,,Harpoon Block-1,anti-ship missile,28,?,1992; 1993,New,,0.9,25.2,25.2
Australia,United States,1988,,2,,Boeing-707,transport aircraft,2,,1988,Second hand but modernized,Second-hand but modernized before delivery; $18 m dea,29.37,58.74,58.74
Australia,South Africa,1989,,1,,Buffel,armoured personnel carrier,1,,1989,New,For use with Australian UN forces in Namibia,0.15,0.15,0.15
Australia,Sweden,1991,,8,,Sea Giraffe-150,air-search radar,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from Germany,5,40,40
Australia,Israel,1988,,4,,air refuel system,air refuel system,4,?,1991; 1992,New,For $31 m modification of 4 Boeing-707 transport aircraft to tanker/transport aircraft,10,40,40
Australia,United States,1991,?,32,?,AIM-7P Sparrow,long-range air-to-air missile,32,?,1996; 1997; 1998; 1999,New,For MEKO-200 (Anzac) frigates; RIM-7P Sea Sparrow (SAM) version,0.2,6.4,6.4
Australia,Sweden,1991,?,8,,CEROS-200,fire-control radar,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from Germany; incl for use with Sea Sparrow SAM system,2.5,20,20
Australia,United States,1993,,15,,FB-111A,bomber aircraft,15,,1993; 1994,Second hand,Second-hand; $146 m deal (incl $53 m for aircraft and $65 m for spares; support and minor modifications); F-111G version,20,300,300
Australia,United States,1994,,3,,P-3B Orion,anti-submarine aircraft,3,,1995; 1997; 1999,Second hand,Second-hand; $7 m 'Project Air-5276 Phase-2B' (incl 1 more for spare parts); delivered without ASW equipment; modified in Australia to TAP-3 for training,12,36,36
Australia,United Kingdom,1966,,3,,Ham,minesweeper,3,?,1966; 1967,Second hand,Second-hand,2.4,7.2,7.2
Australia,United Kingdom,1977,,10,,Blindfire,fire-control radar,10,?,1979; 1980; 1981,New,Deal worth $20 m; for use with Rapier SAM system,2.5,25,25
Australia,United States,1971,,10,,A-4E Skyhawk,FGA aircraft,10,,1971,New,A-4G version; incl 2 TA-4G; for use on aircraft carrier,9,90,90
Australia,United States,1963,,1,,Adams,destroyer,1,,1967,New,AUD50 m deal,275,275,275
Australia,Netherlands,1963,?,2,,WM-20,fire-control radar,2,,1969,New,For 2 Leander (River) frigates from United Kingdom; WM-22 version,6,12,12
Australia,Netherlands,1963,?,2,,LW-02,air-search radar,2,,1969,New,For 2 Leander (River) frigates from United Kingdom,7,14,14
Australia,Netherlands,1957,?,4,,LW-02,air-search radar,4,,1963; 1964; 1965,New,For 4 Rothesay (River) frigates from United Kingdom,7,28,28
Australia,United States,1977,?,3,,TPS-43,air-search radar,3,?,1982,New,For 'Recap' improvement programme of 'Hub Cap' air surveillance network,9,27,27
Australia,United States,1963,?,200,?,AIM-9B Sidewinder,short-range air-to-air missile,200,?,1964,New,For Mirage-3O combat aircraft,0.04,8,8
Australia,United States,1989,?,9,,Mk-15 Phalanx,naval gun,9,?,1990; 1991; 1992; 1993; 1994,New,For frigates; destroyers; amphibious assault ships and support ships,7,63,63
Australia,United Kingdom,1953,,36,,Gannet,anti-submarine aircraft,36,?,1955; 1956; 1957; 1958,New,Gannet AS-1 version; incl for use on aircraft carrier,6.5,234,234
Australia,United Kingdom,1951,,39,?,Venom NF-2,fighter aircraft,39,?,1955; 1956,New,Sea Venom FAW-53 version; incl for use on aircraft-carrier,3.75,146.25,146.25
Australia,United States,1993,,8,,SPS-49,air-search radar,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from FRG; AN/SPS-49V(8) version,5,40,40
Australia,United States,1961,?,12,,P-2H Neptune,anti-submarine aircraft,12,,1962,New,,15,180,180
Australia,Netherlands,1967,?,1,,LW-02,air-search radar,1,,1968,New,For modernization of 1 Majestic (Melbourne) aircraft carrier,7,7,7
Australia,Netherlands,1969,?,4,,WM-20,fire-control radar,4,?,1971; 1973,New,For modernization of 2 Daring (Vampire) destroyers; WM-22 version,6,24,24
Australia,Netherlands,1969,?,2,,LW-02,air-search radar,2,?,1971; 1973,New,For modernization of 2 Daring (Vampire) destroyers,7,14,14
Australia,United States,1995,,12,,Harpoon Block-1,anti-ship missile,12,?,2000; 2001,New,$38 m deal,0.9,10.8,10.8
Australia,United Kingdom,1950,,4,,102mm Mk-20,naval gun,4,?,1954; 1955; 1956; 1957,Second hand but modernized,Probably second-hand but modernized before delivery; for modernization of 4 Q destroyers,0.83,3.3,3.3
Australia,United Kingdom,1952,?,2,,B-29 Superfortress,bomber aircraft,2,,1952,Second hand,Second-hand,3.6,7.2,7.2
Australia,United States,1974,?,6,,Mk-42-9 127mm,naval gun,6,?,1975; 1978; 1979,New,Mk-42 Mod-10 version for modernization of 3 Adams (Perth) destroyers,4.75,28.5,28.5
Australia,United States,1989,?,8,,Mk-45 127mm,naval gun,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from Germany; Mk-45 Mod-2 version,5.25,42,42
Australia,United States,1998,,51,,Popeye,air-to-surface missile,51,?,2001; 2002; 2003; 2004,New,AUD90 m 'Project Air-5398'; AGM-142E version; for F-111C/G combat aircraft,0.9,45.9,45.9
Australia,Canada,1995,,14,,Piranha-2,infantry fighting vehicle,14,?,1996,New,'Project Land-112 Phase-2' or 'ASLAV programme Phase-2'; LAV-25 version; Australian designation ASLAV-25,0.27,3.78,3.78
Australia,United States,1967,,23,,Bell-205A-1,helicopter,23,,1968; 1970,New,,2.62,60.26,60.26
Australia,United States,1963,?,7,,Bell-204B,helicopter,7,?,1964; 1965; 1966,New,,2.1,14.7,14.7
Australia,United Kingdom,1958,?,18,?,Saladin,armoured car,18,?,1960,New,,0.7,12.6,12.6
Australia,United Kingdom,1958,?,20,?,Saracen,armoured personnel carrier,20,?,1959; 1960,New,,0.2,4,4
Australia,United Kingdom,1996,,1,,Sea King HAS-5,anti-submarine helicopter,1,,1996,Second hand,ASW equipment probably removed before transfer,6,6,6
Australia,United Kingdom,1998,,400,?,ASRAAM,long-range air-to-air missile,400,?,2000; 2001; 2002; 2003; 2004,New,$62 m deal (total costs for missiles and integration AUD488 m ($353 m)); for F/A-18 combat aircraft; delivered from 2000 but only operational from 2004,0.18,72,72
Australia,United States,1998,,2,,CH-47D Chinook,transport helicopter,2,,2001,New,$45 m deal,18,36,36
Australia,United Kingdom,1953,?,1,,Tide,replenishment ship,1,,1962,Second hand,Australian designation Supply Class; built for Australia; but after completion in 1955 on loan to UK till 1962,50,50,50
Australia,France,1980,?,15,?,DRPT-5 RASIT,ground surveillance radar,15,?,1981,New,,0.1,1.5,1.5
Australia,United States,1994,,50,?,Mk-46 Mod-5 NEARTIP,anti-submarine torpedo,50,?,1995; 1996,New,No. could be up to 100,0.35,17.5,17.5
Australia,France,1963,,3,,SA-316B Alouette-3,light helicopter,3,,1964,New,,0.9,2.7,2.7
Australia,United States,1950,,2,,H-5,light helicopter,2,,1951,New,,0.3,0.6,0.6
Australia,United States,2000,?,250,?,AIM-120B AMRAAM,long-range air-to-air missile,250,?,2001; 2002; 2003; 2004; 2005; 2006,New,'Project Air-5400'; for F/A-18A combat aircraft,0.4,100,100
Australia,United Kingdom,1959,?,1,?,Bloodhound-1,SAM system,1,?,1962,New,,30,30,30
Australia,United States,2001,?,70,?,Popeye,air-to-surface missile,70,?,2005; 2006; 2007; 2008,New,,0.9,63,63
Australia,United States,1998,?,1,,King Air,light transport aircraft,1,,1999,New,king Air-350 version; for testing of ground surveillance systems,2.85,2.85,2.85
Australia,United Kingdom,1955,?,2,,Canberra B-2,bomber aircraft,2,,1956,New,Canberra T-4 trainer version,8.5,17,17
