Transfers of major conventional arms from All countries  to Australia  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 29 Aug 2025 3:01:25 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Australia,United States,1985,,8,,SH-60B Seahawk,anti-submarine helicopter,8,,1989,New,$219 m deal; S-70B-2 version,17,136,136
Australia,United States,2002,?,4,,Mk-41 VLS,naval SAM system,4,,2006; 2007; 2008,New,For modernisation of 4 Perry (Adelaide) frigated,20,80,80
Australia,United States,2008,,2,,LM-2500,gas turbine,2,,2014; 2015,New,For 2 BPE (Canberra) amphibious assault ships from Spain,7,14,14
Australia,United States,1989,,14,,Piranha-2,infantry fighting vehicle,14,,1991,Second hand,Second-hand; AUD25 m ($17-19 m) 'Project Land-112 Phase-1' or 'ASLAV programme Phase-1'; LAV-25 version; Australian designation ASLAV,0.36,5.04,5.04
Australia,United States,2013,,12,,EA-18G Growler,FGA/electronic warfare aircraft,12,?,2015; 2016; 2017,New,$1.5 b 'Project-5349 Phase-3' programme,60,720,720
Australia,United Kingdom,1964,,1,,Daring,destroyer,1,,1964,Second hand,Second-hand; on loan until bought 1972,56,56,56
Australia,United States,2010,,10,?,RQ-7 Shadow-200,UAV,10,?,2011; 2012,New,AUD175 m ($157 m) deal (incl 4 control systems); for use in Afghanistan,0.1,1,1
Australia,United States,2006,?,260,?,AGM-158A JASSM,air-to-surface missile,260,?,2009; 2010; 2011; 2012; 2013,New,AUD350-450 m ($270-350 m) 'Project Air-5418'; for F/A-18 combat aircraft,0.64,166.4,166.4
Australia,United States,2015,,2,,C-17A Globemaster-3,heavy transport aircraft,2,,2015,New,AUD700 m ($544 m) deal,140,280,280
Australia,Israel,2007,?,10,?,RecceLite,aircraft reconnaissance system,10,?,2009; 2010,New,Probably ordered via USA,4,40,40
Australia,Israel,2005,,37,,Litening,aircraft electro-optical system,37,?,2006; 2007,New,Litening-AT version; for F/A-18 combat aircraft; ordered via USA; from US production line,1,37,37
Australia,United States,1959,?,54,,Bell-47/OH-13,light helicopter,54,?,1960; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969,New,,0.24,12.96,12.96
Australia,United States,2014,,3,,F414,turbofan,3,?,2016,New,F-414-GE-400 version; spare engines for F/A-18E combat aircraft,2.5,7.5,7.5
Australia,United States,2012,,7,,CH-47F Chinook,transport helicopter,7,,2015,New,AUD514 m ($470 m) 'Project Air-9000 Phase-5C',20,140,140
Australia,United States,1959,?,254,?,M-101A1 105mm,towed gun,254,?,1960; 1961,Second hand,Probably second-hand,0.18,45.72,45.72
Australia,United States,1988,,40,?,RIM-66B Standard-1MR,SAM,40,?,1988,Second hand,Second-hand; $25-31 m deal; for training,0.1,4,4
Australia,New Zealand,1972,,37,,CT-4 Airtrainer,(armed) trainer aircraft,37,?,1974; 1975,New,AUD2.8 m ($3.3 m) deal,0.15,5.55,5.55
Australia,United States,2016,,3,,CH-47F Chinook,transport helicopter,3,,2016,New,$180 m deal,20,60,60
Australia,United States,1951,,12,,P-2E Neptune,anti-submarine aircraft,12,?,1951; 1952,New,,10,120,120
Australia,United States,2005,?,12,?,aircraft engine,aircraft engine,12,?,2006; 2007; 2008,New,'Air-9000 Phase-5A' programme; Lycoming T-55-L-712 (3750hp) turboshaft for modernization of 6 CH-47 helicopters,1.1,13.2,13.2
Australia,Canada,1963,,18,,DHC-4 Caribou,transport aircraft,18,?,1963; 1964; 1965,New,GBP8 m deal,3.75,67.5,67.5
